State,Quarter,Rate,Quarter_Num,IsTreatmentGroup,AfterTreatment,IsTreatment
Alaska,Q42010,0.75,1,0,0,0
Alaska,Q12011,0.77,2,0,0,0
Alaska,Q22011,0.77,3,0,0,0
Alaska,Q32011,0.78,4,0,1,0
Alaska,Q42011,0.78,5,0,1,0
Alaska,Q12012,0.79,6,0,1,0
Arizona,Q42010,0.2634,1,0,0,0
Arizona,Q12011,0.2092,2,0,0,0
Arizona,Q22011,0.2261,3,0,0,0
Arizona,Q32011,0.2503,4,0,1,0
Arizona,Q42011,0.2351,5,0,1,0
Arizona,Q12012,0.2587,6,0,1,0
California,Q42010,0.2666,1,1,0,0
California,Q12011,0.2731,2,1,0,0
California,Q22011,0.2743,3,1,0,0
California,Q32011,0.2636,4,1,1,1
California,Q42011,0.2607,5,1,1,1
California,Q12012,0.2641,6,1,1,1
Colorado,Q42010,0.6653,1,0,0,0
Colorado,Q12011,0.6674,2,0,0,0
Colorado,Q22011,0.6736,3,0,0,0
Colorado,Q32011,0.6715000000000001,4,0,1,0
Colorado,Q42011,0.6698999999999999,5,0,1,0
Colorado,Q12012,0.6594,6,0,1,0
Connecticut,Q42010,0.3904999999999999,1,0,0,0
Connecticut,Q12011,0.3853,2,0,0,0
Connecticut,Q22011,0.3952,3,0,0,0
Connecticut,Q32011,0.4031,4,0,1,0
Connecticut,Q42011,0.3864,5,0,1,0
Connecticut,Q12012,0.3984,6,0,1,0
District of Columbia,Q42010,0.3319,1,0,0,0
District of Columbia,Q12011,0.2866,2,0,0,0
District of Columbia,Q22011,0.2951,3,0,0,0
District of Columbia,Q32011,0.4024,4,0,1,0
District of Columbia,Q42011,0.3791,5,0,1,0
District of Columbia,Q12012,0.3646,6,0,1,0
Florida,Q42010,0.3753,1,0,0,0
Florida,Q12011,0.3795,2,0,0,0
Florida,Q22011,0.3947,3,0,0,0
Florida,Q32011,0.4181,4,0,1,0
Florida,Q42011,0.4036999999999999,5,0,1,0
Florida,Q12012,0.407,6,0,1,0
Hawaii,Q42010,0.417,1,0,0,0
Hawaii,Q12011,0.4105,2,0,0,0
Hawaii,Q22011,0.4271,3,0,0,0
Hawaii,Q32011,0.4294,4,0,1,0
Hawaii,Q42011,0.4307,5,0,1,0
Hawaii,Q12012,0.4108,6,0,1,0
Louisiana,Q42010,0.5372,1,0,0,0
Louisiana,Q12011,0.546,2,0,0,0
Louisiana,Q22011,0.5619,3,0,0,0
Louisiana,Q32011,0.5949,4,0,1,0
Louisiana,Q42011,0.551,5,0,1,0
Louisiana,Q12012,0.5486,6,0,1,0
Maryland,Q42010,0.4635,1,0,0,0
Maryland,Q12011,0.4528999999999999,2,0,0,0
Maryland,Q22011,0.4679,3,0,0,0
Maryland,Q32011,0.4589999999999999,4,0,1,0
Maryland,Q42011,0.495,5,0,1,0
Maryland,Q12012,0.456,6,0,1,0
Michigan,Q42010,0.1563,1,0,0,0
Michigan,Q12011,0.1491,2,0,0,0
Michigan,Q22011,0.1923,3,0,0,0
Michigan,Q32011,0.2460999999999999,4,0,1,0
Michigan,Q42011,0.2294,5,0,1,0
Michigan,Q12012,0.4216,6,0,1,0
Minnesota,Q42010,0.5357999999999999,1,0,0,0
Minnesota,Q12011,0.5173,2,0,0,0
Minnesota,Q22011,0.5202,3,0,0,0
Minnesota,Q32011,0.5246,4,0,1,0
Minnesota,Q42011,0.528,5,0,1,0
Minnesota,Q12012,0.5398,6,0,1,0
Missouri,Q42010,0.4025,1,0,0,0
Missouri,Q12011,0.3987,2,0,0,0
Missouri,Q22011,0.4063,3,0,0,0
Missouri,Q32011,0.4089,4,0,1,0
Missouri,Q42011,0.415,5,0,1,0
Missouri,Q12012,0.4127,6,0,1,0
Montana,Q42010,0.6429,1,0,0,0
Montana,Q12011,0.6406000000000001,2,0,0,0
Montana,Q22011,0.6578,3,0,0,0
Montana,Q32011,0.6683,4,0,1,0
Montana,Q42011,0.6674,5,0,1,0
Montana,Q12012,0.6523,6,0,1,0
Nebraska,Q42010,0.4540999999999999,1,0,0,0
Nebraska,Q12011,0.4337,2,0,0,0
Nebraska,Q22011,0.436,3,0,0,0
Nebraska,Q32011,0.4404999999999999,4,0,1,0
Nebraska,Q42011,0.4389,5,0,1,0
Nebraska,Q12012,0.4518999999999999,6,0,1,0
New Hampshire,Q42010,0.5576,1,0,0,0
New Hampshire,Q12011,0.5594,2,0,0,0
New Hampshire,Q22011,0.5643,3,0,0,0
New Hampshire,Q32011,0.5334,4,0,1,0
New Hampshire,Q42011,0.5247999999999999,5,0,1,0
New Hampshire,Q12012,0.5253,6,0,1,0
New Jersey,Q42010,0.3037,1,0,0,0
New Jersey,Q12011,0.3109,2,0,0,0
New Jersey,Q22011,0.3039,3,0,0,0
New Jersey,Q32011,0.3109,4,0,1,0
New Jersey,Q42011,0.3127,5,0,1,0
New Jersey,Q12012,0.3334,6,0,1,0
New York,Q42010,0.1249,1,0,0,0
New York,Q12011,0.1267,2,0,0,0
New York,Q22011,0.1314,3,0,0,0
New York,Q32011,0.1451,4,0,1,0
New York,Q42011,0.1277,5,0,1,0
New York,Q12012,0.1229,6,0,1,0
North Carolina,Q42010,0.5239,1,0,0,0
North Carolina,Q12011,0.519,2,0,0,0
North Carolina,Q22011,0.532,3,0,0,0
North Carolina,Q32011,0.534,4,0,1,0
North Carolina,Q42011,0.5284,5,0,1,0
North Carolina,Q12012,0.5126,6,0,1,0
Ohio,Q42010,0.5545,1,0,0,0
Ohio,Q12011,0.5593,2,0,0,0
Ohio,Q22011,0.5700999999999999,3,0,0,0
Ohio,Q32011,0.5700999999999999,4,0,1,0
Ohio,Q42011,0.5751,5,0,1,0
Ohio,Q12012,0.5645,6,0,1,0
Pennsylvania,Q42010,0.4531,1,0,0,0
Pennsylvania,Q12011,0.4536,2,0,0,0
Pennsylvania,Q22011,0.4553,3,0,0,0
Pennsylvania,Q32011,0.4559,4,0,1,0
Pennsylvania,Q42011,0.4551,5,0,1,0
Pennsylvania,Q12012,0.4527,6,0,1,0
South Carolina,Q42010,0.3082999999999999,1,0,0,0
South Carolina,Q12011,0.2617,2,0,0,0
South Carolina,Q22011,0.2556,3,0,0,0
South Carolina,Q32011,0.2641,4,0,1,0
South Carolina,Q42011,0.2966,5,0,1,0
South Carolina,Q12012,0.228,6,0,1,0
Tennessee,Q42010,0.3268,1,0,0,0
Tennessee,Q12011,0.3249,2,0,0,0
Tennessee,Q22011,0.3382,3,0,0,0
Tennessee,Q32011,0.3428,4,0,1,0
Tennessee,Q42011,0.3385,5,0,1,0
Tennessee,Q12012,0.34,6,0,1,0
Virginia,Q42010,0.2645,1,0,0,0
Virginia,Q12011,0.3622999999999999,2,0,0,0
Virginia,Q22011,0.3455,3,0,0,0
Virginia,Q32011,0.359,4,0,1,0
Virginia,Q42011,0.3443,5,0,1,0
Virginia,Q12012,0.3701,6,0,1,0
Washington,Q42010,0.5811,1,0,0,0
Washington,Q12011,0.5893,2,0,0,0
Washington,Q22011,0.5882000000000001,3,0,0,0
Washington,Q32011,0.5846,4,0,1,0
Washington,Q42011,0.5842,5,0,1,0
Washington,Q12012,0.5947,6,0,1,0
Wisconsin,Q42010,0.5735,1,0,0,0
Wisconsin,Q12011,0.5710000000000001,2,0,0,0
Wisconsin,Q22011,0.5720000000000001,3,0,0,0
Wisconsin,Q32011,0.5688,4,0,1,0
Wisconsin,Q42011,0.5660000000000001,5,0,1,0
Wisconsin,Q12012,0.5814,6,0,1,0
Wyoming,Q42010,0.5931000000000001,1,0,0,0
Wyoming,Q12011,0.5946,2,0,0,0
Wyoming,Q22011,0.5937,3,0,0,0
Wyoming,Q32011,0.5911,4,0,1,0
Wyoming,Q42011,0.5854,5,0,1,0
Wyoming,Q12012,0.5881000000000001,6,0,1,0
