is_treatment,response_att,food_share_15d,age,is_women
1,0,0.0,33.0,1
0,0,0.0,63.0,1
1,0,0.0,51.0,1
0,0,0.0,38.0,1
1,0,0.5105,20.0,1
0,0,0.931,25.0,0
0,0,0.0,58.0,1
0,0,0.0,27.0,1
1,0,0.0,62.0,0
1,0,0.0,55.0,0
0,0,0.8692,28.0,0
1,0,0.0,32.0,1
1,1,0.0,34.0,1
1,1,0.9988,70.0,1
1,1,1.0,20.0,0
1,0,0.0,21.0,0
1,0,1.0,60.0,1
1,0,0.5224,30.0,0
1,0,0.9708,78.0,1
1,0,0.9886,45.0,1
1,0,0.0,63.0,1
1,0,0.0,43.0,1
0,0,0.4227,43.0,1
1,0,0.0,51.0,1
0,0,0.0,44.0,1
1,0,0.0,27.0,0
0,0,0.0,27.0,1
1,0,0.0,53.0,1
1,0,0.0,41.0,1
1,0,0.9754,20.0,0
1,0,0.0,53.0,1
0,0,0.0,62.0,0
0,0,0.0,45.0,1
1,0,0.7119,63.0,1
0,0,0.0,36.0,0
1,0,0.0,35.0,1
1,0,0.0,36.0,1
1,0,0.0,70.0,1
1,0,0.0221,41.0,1
1,0,0.251,34.0,0
1,0,0.0,41.0,1
1,0,1.0,83.0,1
1,0,0.9717,64.0,1
1,0,0.0,33.0,0
1,0,0.9841,38.0,1
0,1,0.9764,62.0,1
1,0,0.0,67.0,1
1,0,0.0,62.0,1
1,0,0.0,59.0,0
1,0,0.5254,25.0,0
0,0,0.5687,39.0,1
1,0,0.7496,48.0,1
1,0,0.5361,39.0,1
1,0,0.8525,56.0,1
1,0,0.0,78.0,1
1,0,0.0,21.0,1
0,0,0.0,62.0,1
1,0,0.8638,22.0,0
1,0,0.0,31.0,0
1,0,0.9785,40.0,1
1,0,0.0,41.0,1
1,1,0.6103,35.0,0
1,0,0.0,53.0,1
1,0,0.0,31.0,1
1,0,0.0,35.0,1
1,0,0.9954,43.0,0
1,0,0.0,24.0,0
1,1,0.8949,18.0,1
1,0,0.9786,47.0,0
1,1,0.6593,44.0,1
0,0,0.0,70.0,1
1,0,0.804,47.0,1
1,1,0.9955,24.0,0
1,0,0.8451,58.0,1
1,0,0.0,38.0,1
1,0,0.0,68.0,1
1,0,0.0,54.0,1
1,0,0.0,35.0,0
1,0,0.0,33.0,0
1,0,0.0,47.0,1
0,0,1.0,20.0,1
1,0,0.0,34.0,1
0,0,0.0,,0
1,1,0.7396,31.0,1
0,0,0.3411,20.0,1
1,0,0.9976,62.0,1
0,0,0.0,19.0,0
0,0,0.991,68.0,1
1,0,0.0,24.0,0
1,0,0.0,58.0,0
1,0,0.0,32.0,0
0,0,0.0,32.0,1
1,1,0.0,44.0,1
1,1,0.4437,58.0,0
1,0,0.0,28.0,0
1,0,0.0,31.0,0
1,0,0.9041,79.0,1
1,0,0.8039,46.0,1
1,0,0.0923,22.0,0
0,0,0.0,60.0,1
1,0,0.5744,63.0,1
1,0,0.6776,52.0,1
1,0,0.0,41.0,1
1,0,0.9118,33.0,1
1,0,0.0,56.0,1
0,0,0.0,41.0,1
1,0,0.0,41.0,1
1,0,0.0,27.0,0
1,0,0.0,24.0,1
1,0,0.0,24.0,0
1,0,0.0,27.0,0
1,0,0.0,43.0,0
1,0,0.8476,29.0,0
1,0,0.8337,39.0,1
1,0,0.0,41.0,0
1,0,0.7432,45.0,1
1,0,0.8737,49.0,1
1,0,0.0,53.0,0
1,0,0.9946,30.0,1
1,0,1.0,27.0,1
1,0,0.0,79.0,1
1,0,0.0,52.0,1
1,0,0.0,29.0,1
1,1,0.919,38.0,0
1,0,0.288,64.0,0
0,0,0.9962,46.0,1
1,0,0.9985,60.0,1
0,0,0.0,32.0,0
1,0,0.0,23.0,1
0,0,1.0,25.0,1
0,0,0.4417,37.0,0
0,0,0.0,38.0,0
0,0,0.9968,38.0,1
1,0,0.904,37.0,1
1,0,1.0,39.0,1
1,0,0.3782,45.0,0
0,0,0.0,36.0,1
0,0,0.0,34.0,1
1,0,0.0,42.0,1
0,0,1.0,,1
1,0,0.643,56.0,0
0,0,0.0,31.0,1
1,0,1.0,63.0,1
1,0,0.0,42.0,1
0,1,0.6036,54.0,1
1,0,0.7567,32.0,1
1,1,0.9118,46.0,1
1,0,0.0,40.0,1
0,1,1.0,59.0,0
1,0,0.5283,47.0,0
1,0,0.6823,45.0,1
1,0,0.0,41.0,1
0,0,0.8806,55.0,0
1,0,0.0,44.0,1
1,0,0.0594,22.0,1
1,0,0.3534,27.0,0
0,0,1.0,21.0,0
0,0,0.3625,60.0,0
0,0,0.0,25.0,0
1,0,0.3851,47.0,1
1,0,0.3046,68.0,1
1,0,0.0,74.0,0
1,0,0.0,28.0,1
0,0,0.0,34.0,1
1,0,0.0,43.0,1
1,0,0.7447,30.0,1
1,0,0.9958,45.0,1
0,0,0.0,42.0,0
1,0,0.0,58.0,1
0,0,0.8411,61.0,0
0,0,0.9,42.0,1
1,0,1.0,57.0,1
0,0,0.0,42.0,1
1,1,0.3604,,0
1,0,0.0,45.0,1
1,0,0.0,58.0,0
1,0,0.4013,,0
0,1,0.9924,48.0,0
0,0,0.0,33.0,0
1,0,0.0,40.0,1
0,0,0.8758,40.0,1
1,1,0.8745,36.0,1
1,0,0.0,51.0,0
0,1,0.9289,58.0,1
1,0,0.8528,40.0,1
0,0,1.0,48.0,0
1,0,0.964,52.0,0
0,0,0.9961,80.0,1
1,0,0.0,30.0,1
1,0,0.0,56.0,1
1,0,0.3875,76.0,1
1,0,0.4557,71.0,1
0,0,0.8736,31.0,1
1,0,0.0,38.0,1
0,0,0.0,35.0,0
0,0,0.8682,65.0,1
1,0,0.0,40.0,1
1,0,0.0,36.0,1
1,0,0.0,43.0,1
1,0,0.0,25.0,0
0,0,0.0,52.0,0
1,0,0.0,51.0,1
0,0,0.7105,33.0,1
1,0,0.0,52.0,0
0,0,0.0,53.0,0
1,0,0.0,32.0,0
1,1,0.4397,62.0,0
0,0,0.7968,39.0,0
1,0,1.0,59.0,0
1,0,0.0,66.0,1
0,0,0.0,27.0,0
1,0,0.0,30.0,1
0,0,0.0,45.0,0
1,1,0.8445,54.0,0
1,0,0.0,37.0,1
1,0,0.0,59.0,1
